news_id,category,subcategory,title,abstract
N56966,foodanddrink,foodnews,11 Ridiculous Reasons People Sued Fast-Food Chains,"Too much ice! Not enough chicken! These customers had all sorts of complaints, and they wanted the offending notable fast-food chains to hear them. The post 11 Ridiculous Reasons People Sued Fast-Food Chains appeared first on Reader's Digest."
N13337,travel,travelarticle,The 32 most affordable winter vacation spots in the US,Here are 32 places to enjoy snowy winter activities and still have enough money to buy everybody holiday gifts.
N36786,finance,finance-real-estate,9 renovation tips to boost resale value,"Making the right renovation decisions can help you sell your house quicker, and for more money."
N5981,lifestyle,lifestylecelebstyle,What 40 Celebrities Look Like Without Their Signature Looks,"If you think Taylor Swift is unrecognizable, wait until you see Gwen Stefani."
N58098,foodanddrink,quickandeasy,85 Thanksgiving Recipes You Can Make Ahead,Short on time? Running out of oven space? Here are some make-ahead dishes for a seamless feast.
N23535,foodanddrink,restaurantsandnews,50 Things Popular Restaurant Chains Don't Want You to Know,"You'll want to be aware of these restaurant secrets next time you go out to eat. (For example, you really don't have to ask for unsalted fries.)"
N16344,entertainment,celebrity,Stars   They're Just Like Us!,Stars   They're Just Like Us!
N6916,entertainment,celebrity,THEN AND NOW: What all your favorite '90s stars are doing today,These heartthrobs and fan favorites made the 1990s one of the best decades of the century. Here's what they're up to now.
N10960,foodanddrink,recipes,65 Best Fall Soups That Will Warm You and Your Family Up All Season Long,These hearty bowls are the perfect companion for a rainy fall night.
N19687,foodanddrink,newstrends,Union Market's Annual Music Festival Brings on a Bevy of Local Food Vendors,"Plus, more upcoming D.C. restaurant event highlights"
N37352,lifestyle,shop-holidays,The Hottest Tech Gifts This Holiday Season,"If you need tech gifts for people on your list this holiday season but don't know what's affordable   while still being useful and maybe even dazzling   consult this list. We've got devices that will please television watchers, music lovers, fitness fans, gamers, neat freaks, and more, as well as smart-home users."
N20036,lifestyle,shop-holidays,30 Best Black Friday Deals from Costco,"Costco members love shopping at the warehouse store, and they'll love shopping there for holiday gifts just as much."
N60799,lifestyle,lifestylecelebstyle,The Most Stunning Evening Gowns in Miss America History,See the evolution from the 1920s through 2019.
N19643,foodanddrink,recipes,30 Stuffing Recipes That'll Complete Your Thanksgiving Feast,You'll dream of #5 all year long.
N50894,autos,autossports,2020 Toyota Supra Review: Why the Supra Is a Finalist and the BMW Z4 Isn't,The new Supra is a 2020 Car of the Year finalist
N37793,tv,tv-gallery,Actresses who've played Queen Elizabeth II,"From Helen Mirren to Claire Foy to Olivia Colman, here are some of the many stars who've played the British monarch over the years."
N38311,entertainment,celebrity,Celebrity PDA of 2019,See the stars kissing and hugging on the red carpet and out and about!
N27738,news,newspolitics,"House to hear from US official who said he overheard Trump, Sondland call","In a closed-door deposition, House investigators will hear from David Holmes, the U.S. embassy official who overheard Trump and Sondland speak about ""the investigations."""
N58612,news,newsus,Oregon may face ICE push-back on new limits for courthouse arrests,"Under a new rule enacted Thursday by Oregon Supreme Court Chief Justice Martha Walters, agents with U.S. Immigration and Customs Enforcement are forbidden from arresting immigrants inside or near the state's courthouses unless the agents first receive warrants from a judge."
N28961,finance,finance-video,Home Values in These Cities Have Grown the Most Since the Last Recession,Home prices reached their lowest point in 2012 following the Great Recession. Many Americans who purchased homes during this time now are reaping the rewards. Here are five cities where home prices have increased in value since the last recession.
N10423,news,newsworld,Lebanon protesters angered by PM pick,Lebanese protesters who have been demanding radical reform reacted with anger Friday to the reported designation of a new prime minister they regard as emblematic of a failed political system.
N15719,autos,autosenthusiasts,2020 Ford Mustang Shelby GT350 vs. GT500: Which Is the Better Sports Car?,"Is the $12,460 more costly GT500 a better sports car than the already great GT350?"
N28716,finance,markets,Nurses face an epidemic of workplace violence,"I got punched in the face, said one emergency room nurse, while others worry for their safety"
N3168,finance,finance-companies,How Google Interferes With Its Search Algorithms and Changes Your Results,"Pressed by businesses, interest groups and governments, the internet giant uses blacklists, algorithm tweaks and an army of contractors to shape what you see."
N7419,lifestyle,lifestylevideo,Why This Couple Is Getting a 'Sleep Divorce',"A New Jersey couple is getting an unusual ""divorce."" Liz and Rich Alterman have been happily married for almost 20 years. They have three children and are now on the brink of getting ""sleep divorced."""
N28072,health,health-news,He was a member of a boy band in the 90s. Now he's an ER doctor in Dallas,"Just when he attained everything he had ever wanted, he realized it wasn't what he wanted."
N28589,finance,finance-top-stocks,Warren Buffett buys a stake in Restoration Hardware,Warren Buffett must really like comfy sofas and beds. The Oracle of Omaha's Berkshire Hathaway bought more than 1.2 million shares of high-end furniture retailer RH -- aka Restoration Hardware -- in the third quarter. It's a new position for Berkshire.
N61697,travel,traveltips,Here's how much and who you should be tipping at American hotels,"To tip or not to tip: That is the question. Well, one of them. Here's everything you should know about hotel tipping in the U.S."
N47383,sports,golf,"This is it, this is the luckiest break in the history of golf","Belgium's Thomas Detry was the beneficiary of one of the all-time luckiest bounces you'll ever see in golf, and maybe all of sports."
N48084,news,newsus,Former Anderson County Administrator Joey Preston files for bankruptcy,Anderson County has been trying to recover money from Joey Preston's now-nullified $1.1 million severance deal.
N20477,sports,football_ncaa,Bold predictions for Week 12 in college football,Expect the unexpected in college football each weekend. USA TODAY experts weigh in with their bold predictions for Week 12 of the season.
N19990,lifestyle,lifestylebuzz,Cows swept away by Hurricane Dorian found alive   but how?,A trio of wild cows believed to have been swept away by the storm surge from Hurricane Dorian have been found on a nearby island in North Carolina
N2419,foodanddrink,newstrends,Tinned Fish Specialist Dyllan's Raw Bar Grill Abruptly Closes in Georgetown,The canal-side seafood house survived for about 15 months
N10032,foodanddrink,recipes,14 butternut squash recipes for delightfully cozy fall meals,"Butternut squash is in season and it's perfect for soups, pastas and side dishes to make for any fall occasion."
N38620,foodanddrink,recipes,The Most Popular Potluck Dessert from Every Decade,"Not surprisingly, many of these desserts are still found at potlucks today! The post The Most Popular Potluck Dessert from Every Decade appeared first on Taste of Home."
N7965,news,newsus,"A new Beltway bridge could make traffic worse beyond just highways, experts say","Critics of plans to expand the American Legion Bridge say you should prepare for more traffic beyond just the Capital Beltway. ""This is really just short-term, they're not looking at the big picture,"" Stewart Schwartz of the Coalition for Smarter Growth said. The Governors of Maryland and Virginia are partnering to build a new bridge next to the existing Potomac River crossing. Transportation officials predict that the project could cut some..."
N51793,sports,football_nfl,"Report: Myles Garrett facing lengthy suspension, could be five games",Myles Garrett was guilty of one of the most aggressive and dangerous acts we have ever seen on a football field during Monday night's game between the Pittsburgh Steelers and Cleveland Browns.
N34915,video,viral,Metal detectorists discover haul of gold coins worth at least 100k,"This is the moment a metal detectorist looking for a friend's lost wedding ring discovered a haul of gold coins worth an estimated £100,000 and shouted - ''yee-ha - there's a f*cking fortune here!'. Paul Raynard, 44, screamed ""'there's millions - this is the moment we dreamed of!"" to best pal Michael Gwynne, 52, when he realised the scale of the find. Businessman Paul ""broke down in tears"" when he stumbled across his very own pot of gold - a cluster of 84 coins in a field near Ballycastle, Northern Ireland. Stunned Paul and Michael found the coins - dating back to the 1500s - whilst looking for the wedding ring a farmer friend had lost in his field."
N47612,news,newsworld,"A birthday, a walk to school and a blast that tore an Afghan family apart","Dunya, 10, and Hadis, 7, were among the 12 dead in Wednesday's suicide bombing in Kabul."
N46976,foodanddrink,tipsandtricks,How much turkey do you need to buy per person?,"When hosting Thanksgiving dinner, there are a lot of questions regarding the menu that may come up."
N19611,autos,autosenthusiasts,Ford v Ferrari: the forgotten car at the heart of the Le Mans '66 clash,The Ferrari-beater you've probably never heard of
N30283,finance,finance-savemoney,How to Get the Best Walmart Black Friday 2019 Deals,"NerdWallet is here to help you win Black Friday, while leaving your budget intact. We spend the time, you save the money. Visit regularly for holiday shopping tips and announcements…"
N57818,sports,baseball_mlb,"Sign-stealing penalties could be ""unlike anything seen in the sport's recent history""",A new report suggests MLB could bring the hammer down
N15817,foodanddrink,restaurantsandnews,Why Wendy's Is One of the the Few Fast-Food Chains with Baked Potatoes,Everywhere else sticks you with fries.
N26485,music,music-celebrity,Camila Cabello Explains the Sweet Meaning Behind Her First Tattoo,The singer is sharing the significance behind her new ink.
N26572,news,newsus,"Ohio GOP lawmakers want to ban all abortions, charge doctors who perform them with murder",Republicans in the Ohio House of Representatives have signed onto a bill to ban all abortions in Ohio and charge doctors who perform them with murder.
N32567,lifestyle,lifestyleroyals,See Princess Sofia of Sweden's Unexpected Green Leopard Print Dress   Complete with Tiara!,Princess Sofia of Sweden's Leopard Print Dress with Tiara
N13270,movies,movies-celebrity,Pregnant Eva Amurri Martino Reveals Split From Husband Kyle Martino,"Eva Amurri announced she and her husband are ""lovingly"" parting ways after eight years of marriage."
N14056,news,newsgoodnews,Boy uses his Make-A-Wish to get special space that other schoolchildren can use,Boy uses his Make-A-Wish to get special space that other schoolchildren can use
N54277,health,voices,"'After I Could Only Fit Into Extended-Size Wedding Gowns, I Started Keto And Lost Over 100 Lbs. In 16 Months'","I can keep up with my children, and I couldn't do that before."
N52850,news,newspolitics,Schiff accuses Trump of 'witness intimidation',House Intelligence Committee Chairman Adam Schiff issued a veiled threat against President Trump for tweeting about former Ukraine Ambassador Marie Yovanovich as she testified before the panel in Day Two of the public impeachment proceedings.
N59933,lifestyle,lifestyleroyals,Kate Middleton Took Public Transit to Her Royal Engagement Today,It's not every day you see a royal wearing Oscar de la Renta on your morning commute.
N16118,travel,travelnews,There are 14 cheap days to fly left in 2019: When are they and what deals can you score?,"There are 14 days left in 2019 that are so cheap for flights, you may want to haul out the carry-on one last time. See when you can score a deal."
N18708,health,fitness,Halle Berry Shares Photo of 6-Pack Abs on Instagram and Her Fans are Freaking Out,"The 53-year-old star worked hard for those washboard abs while training for her new movie, ""Bruised."""
N51008,video,popculture,"Netflix to Alter ""The Devil Next Door"" Documentary After Polish PM Outcry",The prime minister says the documentary has some misleading content. Veuer's Tony Spitz has the details.
N58656,movies,movies-gallery,'Charlie's Angels' stars: Where are they now?,We're checking up on former Charlie's Angels actresses to find out what they're up to today.
N50775,news,newsworld,"U.S. Troops Will Die If They Remain in Syria, Bashar Al-Assad Warns",President Donald Trump has said a force of Americans will remain in the east of the country to guard the oil fields there.
N60215,autos,autosclassics,Pair Of 'New' 1987 Buick Grand Nationals Pulled From Garage After 30 Years,"This pair of Grand Nationals have only 1,400 miles combined!"
N17228,news,newspolitics,Bill Clinton advises Trump to ignore impeachment: 'You got hired to do a job',"Former President Clinton (D) on Thursday advised President Trump to leave fighting impeachment to his staff and focus on his agenda.""My message would be, look, you got hired to do a job,"" Clinton said during a phone interview with CNN. ""You don't get the days back you blow off. Every day is an opportunity to make something good happen.""And I would say, 'I've got lawyers and staff people handling this impeachment inquiry, and they should..."
N6400,sports,more_sports,"Former North Carolina State, NBA player Anthony Grundy dies in stabbing, police say",Anthony Grundy starred at North Carolina State before playing professionally. He was killed in a stabbing Thursday in Louisville.
N20187,lifestyle,lifestylebuzz,Mini Mister Rogers! Hospital Dresses Up Newborn Babies as Beloved TV Icon for World Kindness Day,Mister Rogers Babies: Hospital Dresses Up Newborns as TV Icon
N13854,finance,finance-taxes,20 IRS audit red flags,20 IRS Audit Red Flags
N45057,news,newsus,Dozens of Colorado sheriffs say they won't enforce red flag gun law,"Several sheriffs in the state of Colorado are digging in their heels against a gun law that will go into effect January 1, allowing for the temporary confiscation of firearms if a gun owner shows dangerous or threatening behavior. 60 Minutes reports on red flag laws being adopted across the country, Sunday"
N39028,health,ads-lung-health,'Velvety' Appearance of Woman's Palms Was a Sign of Lung Cancer,"She had a condition called ""tripe palms"" and it's extremely rare."
N43277,news,newsgoodnews,14-year-old baker gives cupcakes to homeless,"Michael Platt has been on Food Network, did a TED talk, and is constantly giving back to those in need with his one-for-one business"
N14266,news,newscrime,California man convicted of torture-murder dies on death row,A 49-year-old inmate convicted of torturing and burning his victim alive has died on California's death row. Prison officials say Spencer Brasure was found unresponsive alone in his San Quentin State Prison cell shortly after midnight Thursday. Officials are awaiting an autopsy to determine the cause of death but say it doesn't appear to be foul play.
N44558,travel,traveltips,What Not to Miss on the Harry Potter Studio Tour,Why it is a must-do for even casual fans
N40982,foodanddrink,recipes,11 Regional Thanksgiving Recipes That Food Bloggers Swear By,"Turkey may be the quintessential Thanksgiving dish, but it's not the only attraction feasters look forward to on this food coma-inducing holiday. Families nationwide anticipate the annual spread of grandma's best stuffing or dad's secret sweet potato recipe. What many Americans don't realize, though, is these staples can vary drastically by location. In some regions, families pack extra cream in their potatoes. In others, Thanksgiving sides come..."
N60939,news,newsworld,Russia lands forces at former U.S. air base in northern Syria,Russia lands forces at former U.S. air base in northern Syria
N39683,lifestyle,lifestyleroyals,Prince Charles just turned 71   here are the best photos from every year of his royal career so far,"Prince Charles, heir to the throne, celebrates his 71st birthday on Thursday. Here are all the best photos from every year of his career."
N13408,finance,finance-taxes,Raise Billions From Billionaires? Tax Experts Say It's Not That Simple,"One of the signature initiatives of Elizabeth Warren's presidential campaign is a wealth tax that, she says, would pay for many of the programs she proposes."
N1396,sports,football_nfl,"Garrett-Rudolph fight invokes memories of other helmet incidents, Cowboys involved","The NFL world was placed on it's head in the final moments of what should have been a celebratory situation for the Cleveland Browns in Thursday night's win over the Pittsburgh Steelers. Only it's the Cleveland Browns and nice things rarely happen to that organization. A few seconds before defeating their rivals for the first time in the same season they also took out the Baltimore Ravens, all hell broke loose when defensive end Myles Garrett..."
N7556,video,viral,Golfer and girlfriend pull amazing trick shot,"Press LaBrie from Montreux, Nevada, USA, is a long drive golf pro who has recently started working on trick shots. He asked his girlfriend Adrianna Moritz to help him pull a challenging trick shot, and it worked brilliantly!"
N35815,health,health-news,"LASIK eye surgery should be taken off market, ex-FDA adviser says",An estimated 20 million Americans have undergone the procedure to correct nearsightedness and improve distance vision
N3806,finance,finance-billstopay,What to Do If Your Parents Need Financial Help,"Most parents in the U.S. provide some sort of financial support to their adult children, multiple surveys have found. But often, financial aid goes the other way. A 2015 survey…"
N46749,tv,tv-celebrity,Alex Rodriguez Jokingly Talks About Marrying Jennifer Lopez During Super Bowl Halftime Show,Alex Rodriguez Talks Marrying Jennifer Lopez During Super Bowl
N64954,news,newspolitics,Who is Marie Yovanovitch? Ambassador testifying at the impeachment hearing,"She was recalled from her post on the orders of the president, who called her 'bad news' in a phone call with his Ukrainian counterpart."
N31289,news,newspolitics,Tense TV: CNN's Blitzer asks Kellyanne Conway about husband,"Kellyanne Conway told CNN's Wolf Blitzer that he embarrassed himself following a tense exchange Thursday where he asked the White House counselor to respond to her husband's criticism of President Donald Trump on television. Lawyer George Conway has frequently attacked his wife's boss on social media. MSNBC brought him into the studio Wednesday to serve as an analyst during its coverage of the House impeachment hearings. Blitzer,..."
N57560,lifestyle,lifestyleroyals,Kate Middleton Shows Off Motherly Side as She Bonds with Families at Opening of Children's Hospice,Kate Middleton Celebrates Opening of Children's Hospice
N53283,finance,finance-companies,The world's most profitable company is about to go public,The oil company that made Saudi Arabia rich is going public. Some say the timing couldn't be worse.
N57001,news,newsworld,North Korea calls Biden 'rabid dog' that 'must be beaten to death',"North Korea has launched a visceral diatribe against US Democratic presidential candidate Joe Biden, calling the former vice-president a ""rabid dog"" -- while also borrowing the terminology of Donald Trump. KCNA appeared to cite one of Trump's favoured insults for the candidate -- ""Sleepy Joe"" -- when it said Americans called him ""Biden not awakened from a sleep""."
N46917,news,newsus,Judge agrees Alabama Islamic State recruit is not US citizen,"A judge agreed Thursday with President Donald Trump's administration that an Alabama woman who joined the Islamic State group was not a US citizen, leaving the 25-year-old and her son in limbo in Syria. Reggie Walton, a federal judge in Washington, agreed with the government's position that Hoda Muthana's father was still a diplomat when she was born, making her ineligible for US citizenship, a lawyer for Muthana said. The lawyer, Christina..."
N27860,sports,more_sports,"The Day in Sports: Thursday, November 14, 2019","The Day in Sports: Thursday, November 14, 2019"
N4476,news,newsworld,"Turkey removed more than 6,000 Syrians from Istanbul -governor's office","Turkey removed more than 6,000 Syrians from Istanbul -governor's office"
N63913,news,newsworld,The Latest: Israel resumes strikes on Gaza after rocket fire,Israel says it has resumed strikes on targets linked to the Islamic Jihad militant group in Gaza after it fired a number of rockets into Israel.
N36940,music,musicnews,"Taylor Swift Says Scooter Braun, Scott Borchetta Are Blocking Her From Playing Old Hits at AMAs","Taylor Swift has taken to social media to tell fans that Scott Borchetta, her former label head at Big Machine Records, and his new partner Scooter Braun are trying to nix her plans for a retrospective performance at the American Music Awards, as well as denying the use of her recordings for a documentary she"
N38498,travel,voices,How to make the most of a day trip in a new city: Charleston edition,"Make the best of a spontaneous short trip by skipping the planning. Start walking, ask for directions and talk to people."
N37458,news,newspolitics,"Besieged on all sides, Gordon Sondland clings to power","Despite a growing list of contradictions in his testimony, an attorney for the embattled diplomat says he ""has no intention of resigning."""
N5051,news,newscrime,Kentucky woman charged in death of woman missing since May,A Kentucky woman has been charged in the death of a woman missing since spring whose remains may have been found last week.
N8941,sports,basketball_nba,Lakers have thrived by living large in small ball-focused NBA,"Teams have become more reliant on floor-spacers and long-range shooters for success, but in the midst of this trend, the Lakers are 9-2 while starting two players over 6-foot-10, pairing either JaVale McGee or Dwight Howard alongside All-Star Anthony Davis."
N23767,lifestyle,lifestyleroyals,Prince Harry Talked to Another Royal About His Desire for Privacy,Prince Albert of Monaco shares the personal advice he gave Harry when they met this month.
N1878,tv,tv-celebrity,Sterling K. Brown Emotionally Recalls Seeing His Dad for the Last Time Before His Death,Sterling K. Brown Recalls Last Moment He Saw His Dad Alive
N4733,finance,personalfinance,Why you're not rich: A financial therapist explains the mindset standing between you and your money goals,"From your very DNA to the social media platforms you check daily, here's why you may be having a hard time managing your finances."
N60975,foodanddrink,tipsandtricks,How to Brine a Turkey & Why You Should,"There are lots of ways to cook your Thanksgiving turkey: smoke it, fry it, spatchcock it. But a traditional roast turkey is probably the most common option and perfectly delicious when you do it right."
N53687,news,newspolitics,"Giuliani Faces U.S. Probe on Campaign Finance, Lobbying Breaches","Rudy Giuliani, President Donald Trump's personal lawyer, is being investigated by federal prosecutors for possible campaign finance violations and a failure to register as a foreign agent as part of an active investigation into his financial dealings, according to three U.S. officials."
N60747,news,newsus,Emails Outline Anti-Immigration Group's Connection to Stephen Miller,"WASHINGTON   Stephen Miller, President Trump's hard-line immigration adviser, has long relied on data produced by the Center for Immigration Studies, a right-leaning think tank, to shape policy at the White House."
N42767,health,health-news,FDA issues warning to Dollar Tree about selling 'potentially unsafe drugs',"The FDA has issued a warning letter to Dollar Tree for receiving OTC drugs produced by foreign manufacturers that have been found to be adulterated, including acne treatment pads and Assured brand drugs."
N63174,lifestyle,lifestyleroyals,"Prince Albert on Twins Jacques and Gabriella: They're Starting to Say, 'Are We There Yet?'",Prince Albert on Twins Prince Jacques and Princess Gabriella
N45523,lifestyle,lifestylebuzz,Family told to take down Christmas display because it's too soon to decorate,A Texas couple was told by their homeowners association to pump the brakes on their Christmas cheer.
N2235,sports,baseball_mlb,"LA Sweep: Angels' Trout, Dodgers' Bellinger win MVP Awards","LA Sweep: Angels' Trout, Dodgers' Bellinger win MVP Awards"
N17647,lifestyle,lifestylebuzz,All the Best Looks from the 2019 CMA Awards,Country music's big night always brings out the fun fashion.
N62365,foodanddrink,recipes,The Unlikely Star of My Family's Thanksgiving Table,"It's hard to remember life before broccoli cheese rice casserole. Or, B.B.C.R.C.E. (Before Broccoli Cheese Rice Casserole Era). What did the Kim clan have to look forward to every Thanksgiving before the cheesy family-favorite side dish entered our lives? Stuffing, maybe. Green bean casserole. Macaroni and cheese. Ham in cola, a quirky recipe from Nigella Lawson that she picked up from the American South. Certainly nothing from the Korean..."
N60539,health,ads-lung-health,Nonsmoker's family was haunted by lung cancer   then she got diagnosed herself,November is Lung Cancer Awareness Month.
N9846,news,newspolitics,Nikki Haley: 'I do think we should always protect whistleblowers',"Former US Ambassador to the United Nations Nikki Haley said Thursday that she believes ""we should always protect whistleblowers,"" a notable departure from President Donald Trump and some congressional Republicans, who have called for the anonymous Ukraine whistleblower to be identified."
N9580,finance,finance-real-estate,Disparity in home lending costs minorities millions,Researchers found that blacks and Latinos face higher mortgage costs   and tech is no panacea
N39393,movies,movies-celebrity,Christopher Reeve's Son Remembers Dad 15 Years After His Death: His Legacy 'Will Always Live On',Christopher Reeve's Son Remembers Dad 15 Years After Death
N56132,news,newspolitics,Jordan calls Pelosi accusing Trump of bribery 'ridiculous',"Rep. Jim Jordan (R-Ohio) pushed back against Speaker Nancy Pelosi (D-Calif.) calling President Trump's dealings with Ukraine ""bribery,"" dismissing Pelosi's claim and doubling down on his support of the president."
N35576,travel,traveltrivia,The 15 Longest Nonstop Flights in the World,Do you think you could handle being stuck inside a metal tube for this long?
N8509,lifestyle,lifestylebuzz,"A teen received a response to a message in a bottle he wrote 9 years ago after it traveled over 3,000 miles","The bottle, which was placed into the ocean on a beach in Rockport, Massachusetts, was found off the coast of France."
N11627,sports,football_nfl,Police not pursuing charges against Browns' Myles Garrett,Cleveland police say they are not investigating Browns player Myles Garrett for striking a Pittsburgh Steelers quarterback in the head with a helmet. Sgt. Jennifer Ciaccia said Friday that police hadn't received a complaint from Mason Rudolph. And a city spokeswoman says the prosecutor can't comment because Rudolph hasn't filed a complaint
N12320,travel,ustravel,The Coolest Way to See NYC Is in a Vintage Car From the Roaring '20s on This Midtown Tour,"A new tour company called Nowaday, in New York City, will take you around in a restored, vintage car."
N53572,music,musicnews,"Taylor Swift Rep Hits Back at Big Machine, Claims She's Actually Owed $7.9 Million in Unpaid Royalties",Taylor Swift's team responds to Big Machine's denial.
N10051,autos,autosenthusiasts,VW ID.3 Electric Motor Is So Compact That Fits In A Sports Bag,"From 2023 on, Volkswagen intends to produce 1.4 million of similar electric drive units annually."
N30963,news,factcheck,Trump Again Misunderstands California's Wildfires,"For the second year in a row, President Donald Trump inaccurately attributed California's rash of wildfires to poor forest management. He also falsely said other states don't have ""close to the level of burn"" as California. The post Trump Again Misunderstands California's Wildfires appeared first on FactCheck.org."
N59904,sports,basketball_nba,Porzingis forgets which locker room to go to at Madison Square Garden,"After the buzzer went off to end the second quarter, instincts kicked in for Kristaps Porzingis."
N47861,news,newsoffbeat,CPW: Franktown man gored by 'aggressive' deer believed to be raised by people,"FRANKTOWN, Colo.   A Franktown man was attacked by a deer believed to have been raised by humans, Colorado Parks and Wildlife said Thursday. The incident happened Wednesday evening, not far from Tomichi Drive and Caribou Drive. CPW says the 56-year-old man was taken to a hospital for treatment and later released. The man and his wife told CPW they saw what they thought was a ""friendly deer"" on ..."
N58748,video,viral,Father-daughter first dance medley had every guest on their feet,How awesome is this first dance medley? They got the moves down!
